file_id	archive_member	source_group	sha256
LA_E_1000147	TextGrids/LA_E_1000147.TextGrid	rebuild_v5	09b31f994be14d84612ac0673dbee2a21b75f84959be4820bb92b56d5dd66e8d
LA_E_1000791	TextGrids/LA_E_1000791.TextGrid	full_study_final_textgrids	f8269b561f8f410e0aea7a890984ee68c2fb693957eec5bd5e93058fabfe0599
LA_E_1000841	TextGrids/LA_E_1000841.TextGrid	expanded_10systems_v2	e159cc187dea4185a0e0d46c3d4480ab53b5d5dafcfcf14b064489eb86e6feda
LA_E_1001227	TextGrids/LA_E_1001227.TextGrid	full_study_final_textgrids	c654e5d5ff1976175755bb722eccf440aa07d733166d7d93251c222b92426931
LA_E_1001476	TextGrids/LA_E_1001476.TextGrid	expanded_10systems_v2	707f6ee50219e551c2ee3ab1dab6542e2e3d62a53875206527738c7476addd6a
LA_E_1001893	TextGrids/LA_E_1001893.TextGrid	expanded_10systems_v2	e10fe80ae665322d71f0c179ea20d60648fbf6979c3ac80bfd345bd9d9f2b691
LA_E_1002394	TextGrids/LA_E_1002394.TextGrid	rebuild_v5	c53c75e63d01b98f26ca516c3f2757830d8dbf558f3171ea43fe00f56cea0285
LA_E_1002658	TextGrids/LA_E_1002658.TextGrid	rebuild_v5	8c2b159e47b4f4e5afc9d2e50ab5ea254698daac614cae1b02a4ad9e857f781c
LA_E_1002769	TextGrids/LA_E_1002769.TextGrid	expanded_10systems_v2	bb0589d7af71d5d4bd273a037c1f4684eaef1e805e7ea60e82271e9958cb6ee4
LA_E_1003768	TextGrids/LA_E_1003768.TextGrid	expanded_10systems_v2	60c5bbdfe75e4ed2ae4a657a7750c6a2d99c70b2e8610509d06e4e42b7489997
LA_E_1005177	TextGrids/LA_E_1005177.TextGrid	rebuild_v5	3b6c8382fc5c2e43d7d8c02c29ef7eae1558b48814930a6dd81fd99f21de461d
LA_E_1006317	TextGrids/LA_E_1006317.TextGrid	rebuild_v5	0195b916fcbc72959e1098ac89b0739b79f633cb0179b4f61489671ffa52662b
LA_E_1006886	TextGrids/LA_E_1006886.TextGrid	expanded_10systems_v2	940ba5985cc9c9f7b92d9888fa7c9fb4e5224fb0f05fa745f3a8ae5fa44eaeec
LA_E_1007069	TextGrids/LA_E_1007069.TextGrid	expanded_10systems_v2	bdf6dd3932bf16511e2d6600c6feca81841ca4322d7ee4a0686533b304056193
LA_E_1007838	TextGrids/LA_E_1007838.TextGrid	rebuild_v5	230e850ea2e8bf2a0d4dbd582e0f4bbbeded416ac0afce9b6432cf1e8218c57c
LA_E_1008103	TextGrids/LA_E_1008103.TextGrid	expanded_10systems_v2	07750a1bba55ecbca7faac2147b755f586a6fae81113a1f43dc61eef9e2cc757
LA_E_1009236	TextGrids/LA_E_1009236.TextGrid	rebuild_v5	05a3be82f0d1f1a82357fcecb237825f03c774f070dbc694f0c507b53d506323
LA_E_1009254	TextGrids/LA_E_1009254.TextGrid	full_study_final_textgrids	29062e3dbaa045f2d43e1e4ac11d416fe70206b9d95ddc0272376a144d82a308
LA_E_1009429	TextGrids/LA_E_1009429.TextGrid	rebuild_v5	5debfd08dd2a95d98a7520d3d07f2935f7b82161657c1ef632d43e57251eb8b5
LA_E_1009640	TextGrids/LA_E_1009640.TextGrid	full_study_final_textgrids	a82275a603646aeb0300f125ef6f99f0357dbefc7f3f844cc8f89c0504f1d08e
LA_E_1009694	TextGrids/LA_E_1009694.TextGrid	rebuild_v5	873a61d32b1bb05be291e6351d148e0e6b772b629fff73d90c83fd434c3099cc
LA_E_1011450	TextGrids/LA_E_1011450.TextGrid	rebuild_v5	695e73425b4cca8034d42c42b4b7f2c8313987b437076366da272db4085a7049
LA_E_1011600	TextGrids/LA_E_1011600.TextGrid	expanded_10systems_v2	697faec9d0012a969677bbbb928fed8618bb026a8466ba57364007e16547dfbd
LA_E_1011807	TextGrids/LA_E_1011807.TextGrid	full_study_final_textgrids	4ecffdd25556983ebbe448a5afa2b4f948b6081829825b5e7a7b60fddf300ee6
LA_E_1014345	TextGrids/LA_E_1014345.TextGrid	rebuild_v5	86fd98ccde5e45e99eaef21c75affa1950f69f95b95ade2c53ef1b4603dc307b
LA_E_1014480	TextGrids/LA_E_1014480.TextGrid	rebuild_v5	bed3dcf0d924cbaa1189b75eed2d527041f3d4c2479311b463ebb9c3569db1ee
