feature,partition,time_ms,estimate,ci_lo,ci_hi,pi_lo,pi_hi
energy,TRAIN,-20,-0.0210788198173819,-0.0586166863836927,0.0164590467489289,-0.100513197838492,0.0583555582037287
energy,TRAIN,-15,-0.0071391700689681,-0.063274843439114,0.0489965033011776,-0.131372571490744,0.117094231352808
energy,TRAIN,-10,0.0020205582022341,-0.0710142390939513,0.0750553554984197,-0.159868836702027,0.163909953106496
energy,TRAIN,-5,0.0038634131249927,-0.0600746074784074,0.0678014337283929,-0.138016405790341,0.145743232040326
energy,TRAIN,0,0.0048243212519908,-0.0525818289177174,0.0622304714216991,-0.121672868102733,0.131321510606715
energy,TRAIN,5,0.0106883973793151,-0.0513365524502471,0.0727133472088773,-0.126879536609836,0.148256331368466
energy,TRAIN,10,0.0156696308527502,-0.0536434760713806,0.0849827377768811,-0.13782071227211,0.16915997397761
energy,TRAIN,15,0.0133324978808607,-0.052892078385973,0.0795570741476944,-0.133658093441153,0.160323089202874
energy,TRAIN,20,0.0062145475736312,-0.0904738471724601,0.102902942319722,-0.208275755099465,0.220704850246727
energy,EVAL,-20,-0.0029773066059903,-0.0338654332394544,0.0279108200274737,-0.0794940064314235,0.0735393932194429
energy,EVAL,-15,0.0060584504935725,-0.0398473863687006,0.0519642873558458,-0.113900167630054,0.126017068617199
energy,EVAL,-10,0.0156741551020434,-0.044037331716201,0.0753856419202878,-0.140657403530302,0.172005713734389
energy,EVAL,-5,0.0254219776856333,-0.0268436625282031,0.0776876178994697,-0.111594480025582,0.162438435396849
energy,EVAL,0,0.0307429805397669,-0.0162315355869803,0.0777174966665141,-0.0913744956979926,0.152860456777527
energy,EVAL,5,0.0273858991571102,-0.0233197480841413,0.0780915463983616,-0.105463281204825,0.160235079519045
energy,EVAL,10,0.0164412699900814,-0.0402357267703515,0.0731182667505143,-0.131772294176271,0.164654834156434
energy,EVAL,15,0.0003608787066456,-0.0537719213486328,0.0544936787619242,-0.141592985197435,0.142314742610727
energy,EVAL,20,-0.0183002931227978,-0.097341325270653,0.0607407390250574,-0.225435343332121,0.188834757086525
centroid,TRAIN,-20,0.0563571925340411,0.0246375615604641,0.0880768235076181,-0.0074743705474485,0.120188755615531
centroid,TRAIN,-15,0.0345043121444437,-0.0124797465386298,0.0814883708275172,-0.0685457625264685,0.137554386815356
centroid,TRAIN,-10,0.0132817800359615,-0.0489148770785316,0.0754784371504545,-0.123620357156212,0.150183917228135
centroid,TRAIN,-5,-0.0073816266501895,-0.0656303605024187,0.0508671072020397,-0.1360735089868,0.121310255686421
centroid,TRAIN,0,-0.0303634153323895,-0.0883179701718775,0.0275911395070986,-0.157547685205707,0.0968208545409283
centroid,TRAIN,5,-0.0564246256687494,-0.116508148486879,0.0036588971493797,-0.189267262562883,0.0764180112253839
centroid,TRAIN,10,-0.0750541417167068,-0.139921349082215,-0.0101869343511984,-0.218018599776059,0.0679103163426455
centroid,TRAIN,15,-0.0768744052015807,-0.134050989146146,-0.0196978212570155,-0.203079006763875,0.0493301963607133
centroid,TRAIN,20,-0.0683142441208879,-0.147402858701298,0.010774370459522,-0.242436546168537,0.105808057926762
centroid,EVAL,-20,0.0113115598051353,-0.0146713748653101,0.0372944944755807,-0.0498721500400099,0.0724952696502805
centroid,EVAL,-15,-0.0185692347976121,-0.056956878774293,0.0198184091790688,-0.117994721114886,0.0808562515196622
centroid,EVAL,-10,-0.0431478240589108,-0.0939586667184477,0.007663018600626,-0.175267136588681,0.0889714884708591
centroid,EVAL,-5,-0.0584947948529408,-0.106074438317868,-0.010915151388014,-0.182722440955577,0.0657328512496953
centroid,EVAL,0,-0.0661719029163947,-0.113521927363671,-0.0188218784691185,-0.188887561622704,0.0565437557899144
centroid,EVAL,5,-0.0680777855028469,-0.117154959401725,-0.0190006116039693,-0.196318595936385,0.0601630249306908
centroid,EVAL,10,-0.0619674370708837,-0.114957687956076,-0.0089771861856911,-0.199949495200483,0.0760146210587156
centroid,EVAL,15,-0.0460481896919192,-0.0927535583738994,0.000657178990061,-0.167867035391783,0.0757706560079444
centroid,EVAL,20,-0.0244803686836665,-0.0890905293968594,0.0401297920295264,-0.19252214914766,0.143561411780327
tilt,TRAIN,-20,0.0688489882258484,0.021924770051335,0.115773206400362,-0.0327465877168669,0.170444564168564
tilt,TRAIN,-15,0.0595022417462785,-0.0016149745148531,0.12061945800741,-0.0760550685136062,0.195059552006163
tilt,TRAIN,-10,0.0491002956809407,-0.0266982406783426,0.124898832040224,-0.119112656645716,0.217313248007597
tilt,TRAIN,-5,0.0368091110833433,-0.0356353769851249,0.109253599151812,-0.124284591037651,0.197902813204338
tilt,TRAIN,0,0.0226792915640996,-0.049349579891799,0.0947081630199982,-0.136996736535771,0.18235531966397
tilt,TRAIN,5,0.0065848026810751,-0.0639818551771895,0.0771514605393398,-0.150285910466123,0.163455515828274
tilt,TRAIN,10,-0.013191584775959,-0.0853002294871949,0.0589170599352769,-0.17308776518539,0.146704595633472
tilt,TRAIN,15,-0.0379293168525249,-0.106584590618094,0.0307259569130438,-0.190464364935609,0.114605731230559
tilt,TRAIN,20,-0.065565512167222,-0.157921072284125,0.026790047949681,-0.27040644384033,0.139275419505886
tilt,EVAL,-20,0.0230930815837901,-0.0153465714808091,0.0615327346483893,-0.0748731663160323,0.121059329483613
tilt,EVAL,-15,0.003457058993264,-0.0464872431618083,0.0534013611483364,-0.12744329837501,0.134357416361538
tilt,EVAL,-10,-0.0095138848553535,-0.0714520637658723,0.0524242940551653,-0.171953157271207,0.1529253875605
tilt,EVAL,-5,-0.0117628166925789,-0.0709478769874618,0.0474222436023039,-0.167345104802936,0.143819471417778
tilt,EVAL,0,-0.0096653851386267,-0.0685297517803125,0.0491989815030591,-0.163851277121866,0.144520506844613
tilt,EVAL,5,-0.0102551548899946,-0.0679078779720647,0.0473975681920755,-0.161756322940948,0.141246013160959
tilt,EVAL,10,-0.0127647730586133,-0.0716926679028448,0.0461631217856182,-0.167165643063308,0.141636096946082
tilt,EVAL,15,-0.0149960655632205,-0.071090515935981,0.0410983848095401,-0.162305201873586,0.132313070747145
tilt,EVAL,20,-0.0168284911343476,-0.092300481427556,0.0586434991588608,-0.214632128924501,0.180975146655805
flux,TRAIN,-15,-0.015343682587098,-0.0596372659889397,0.0289499008147437,-0.110061968693931,0.0793746035197354
flux,TRAIN,-10,-0.0085325672533972,-0.0768816578413849,0.0598165233345905,-0.159931897617237,0.142866763110442
flux,TRAIN,-5,-0.010284952990278,-0.0922455901805793,0.0716756842000233,-0.192156833607874,0.171586927627318
flux,TRAIN,0,-0.0197561902374707,-0.0900035652214442,0.0504911847465027,-0.175309173462741,0.1357967929878
flux,TRAIN,5,-0.0185733982946289,-0.0852756941102154,0.0481288975209577,-0.166117394410642,0.128970597821384
flux,TRAIN,10,-0.0033716867910278,-0.0732618068349214,0.0665184332528657,-0.158009352478079,0.151265978896023
flux,TRAIN,15,0.0132594688976685,-0.0565223029774721,0.0830412407728091,-0.141373146169756,0.167892083965093
flux,TRAIN,20,0.0280218533158705,-0.0703513253454566,0.126395031977198,-0.190033345986069,0.246077052617811
flux,EVAL,-15,0.0068029406014574,-0.0294162254817597,0.0430221066846745,-0.0844190972194755,0.0980249784223903
flux,EVAL,-10,0.0014668418704693,-0.0543579492292581,0.0572916329701968,-0.144706227987635,0.147639911728574
flux,EVAL,-5,-0.0003148326665748,-0.0672529515545769,0.0666232862214273,-0.175929600471009,0.175299935137859
flux,EVAL,0,0.0020612859214893,-0.0553146015505263,0.0594371733935049,-0.148118703961796,0.152241275804775
flux,EVAL,5,0.0036723715124383,-0.0508099776213993,0.0581547206462759,-0.138764845849996,0.146109588874873
flux,EVAL,10,0.0036565431877675,-0.0534290777086784,0.0607421640842135,-0.145631590575513,0.152944676951048
flux,EVAL,15,0.0054552692410208,-0.0515389326617775,0.0624494711438192,-0.143843387843004,0.154753926325045
flux,EVAL,20,0.0090936355774433,-0.071251717910368,0.0894389890652546,-0.201444160292459,0.219631431447346
flatness,TRAIN,-20,0.0496154583529653,0.0172111779992596,0.082019738706671,-0.015422106236046,0.114653022941977
flatness,TRAIN,-15,0.0603837418330665,0.0153233455040621,0.105444138162071,-0.0381225487282019,0.158890032394335
flatness,TRAIN,-10,0.0730562831578257,0.0130089574696879,0.133103608845964,-0.0587947985419569,0.204907364857608
flatness,TRAIN,-5,0.086114641103745,0.019353200714537,0.152876081492953,-0.0617114326898217,0.233940714897312
flatness,TRAIN,0,0.0843495781747018,0.0082119379341343,0.160487218415269,-0.0839397131595803,0.252638869508984
flatness,TRAIN,5,0.0566439275134275,-0.0124447768569791,0.125732631883834,-0.0964351000028489,0.209722955029704
flatness,TRAIN,10,0.0219396010906937,-0.0425419556753163,0.0864211578567037,-0.119994216884664,0.163873419066051
flatness,TRAIN,15,0.0006623331449583,-0.0532683092065141,0.0545929754964308,-0.11805360527058,0.119378271560496
flatness,TRAIN,20,-0.0108859318426159,-0.0793018930649332,0.0575300293797013,-0.160474580767372,0.13870271708214
flatness,EVAL,-20,-0.0155710274199698,-0.04218205362385,0.0110399987839103,-0.077924809486913,0.0467827546469734
flatness,EVAL,-15,-0.0230581198455262,-0.0598973829783188,0.0137811432872663,-0.11808538578,0.0719691460889476
flatness,EVAL,-10,-0.0216448733303958,-0.0707245385921291,0.0274347919313376,-0.148876315848781,0.10558656918799
flatness,EVAL,-5,-0.006555644415141,-0.0610969731686274,0.0479856843383454,-0.14927990553628,0.136168616705998
flatness,EVAL,0,0.0104864284346776,-0.0517212256874782,0.0726940825568334,-0.151976298206773,0.172949155076128
flatness,EVAL,5,0.0177965697909879,-0.0386438947712551,0.074237034353231,-0.130005546681508,0.165598686263484
flatness,EVAL,10,0.0203422383006688,-0.0323543590068648,0.0730388356082024,-0.116640493785847,0.157324970387184
flatness,EVAL,15,0.0253683612418183,-0.0187054915147547,0.0694422139983913,-0.0892067859160511,0.139943508399688
flatness,EVAL,20,0.0325775063424613,-0.0233554544095165,0.0885104670944392,-0.111729514400268,0.176884527085191
cpps,TRAIN,-20,0.0232905880117702,-0.0099078951505588,0.0564890711740992,-0.0099096970076495,0.0564908730311899
cpps,TRAIN,-15,0.0568939275710185,0.0237445999001242,0.0900432552419128,-0.002787700493096,0.116575555635133
cpps,TRAIN,-10,0.0764417064435427,0.0310038277141449,0.12187958517294,-0.0104386224323734,0.163322035319459
cpps,TRAIN,-5,0.0727342198531066,0.0313094326802879,0.114159007025925,-0.0092119522553766,0.15468039196159
cpps,TRAIN,0,0.0559951866654266,0.0110493835587199,0.100940989772133,-0.0291161952611113,0.141106568591964
cpps,TRAIN,5,0.0380753379011752,-0.0064067965991665,0.082557472401517,-0.0515232650223824,0.127673940824733
cpps,TRAIN,10,0.0179100295588983,-0.0321402117563996,0.0679602708741962,-0.0808278176296767,0.116647876747473
cpps,TRAIN,15,-0.0075337325476413,-0.0489495041451583,0.0338820390498755,-0.089027759398639,0.0739602943033562
cpps,TRAIN,20,-0.0362469683216868,-0.0979401833662553,0.0254462467228817,-0.157093256319454,0.0845993196760803
cpps,EVAL,-20,-0.0305283342704561,-0.0569126142263611,-0.0041440543145511,-0.056914881408777,-0.0041417871321352
cpps,EVAL,-15,-0.0051848032508104,-0.031945044447084,0.0215754379454631,-0.061568571413587,0.0511989649119661
cpps,EVAL,-10,0.0135021016112571,-0.0232806527849034,0.0502848560074176,-0.0691814018409318,0.0961856050634461
cpps,EVAL,-5,0.0208630853864651,-0.0127278371098717,0.0544540078828019,-0.0574153420701129,0.0991415128430431
cpps,EVAL,0,0.0201781780587183,-0.0161887352037543,0.0565450913211908,-0.0607314906884615,0.101087846805898
cpps,EVAL,5,0.0161749535173908,-0.0199288441703883,0.0522787512051699,-0.0695731284648141,0.101923035499596
cpps,EVAL,10,0.011421836360548,-0.0291573954167969,0.052001068137893,-0.0828692547528457,0.105712927473942
cpps,EVAL,15,0.0075027955959115,-0.0260715412616595,0.0410771324534827,-0.0702998159977817,0.0853054071896048
cpps,EVAL,20,0.0042231271611365,-0.0457791038971879,0.054225358219461,-0.111093808503639,0.119540062825912
