token_id	region	spectral_trajectory_valid	cpps_trajectory_valid	cpps_left_phone_margin_samples	cpps_right_phone_margin_samples	cpps_failure_reason
LA_T_2627334_0000	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0000	Interior_A	True	True	320.0000000000003	319.99999999999727	
LA_T_2627334_0000	Interior_B	True	True	80.00000000000185	79.99999999999885	
LA_T_2627334_0001	Boundary	True	True			
LA_T_2627334_0001	Interior_A	True	True	80.00000000000185	79.99999999999885	
LA_T_2627334_0001	Interior_B	True	True	239.99999999999844	240.00000000000256	
LA_T_2627334_0003	Boundary	True	True			
LA_T_2627334_0003	Interior_A	True	False	-160.0000000000037	-159.99999999999957	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0003	Interior_B	True	True	640.0000000000006	640.0000000000011	
LA_T_2627334_0011	Boundary	True	True			
LA_T_2627334_0011	Interior_A	True	True	399.9999999999986	399.99999999999915	
LA_T_2627334_0011	Interior_B	True	False	-160.0000000000037	-159.99999999999602	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0012	Boundary	True	True			
LA_T_2627334_0012	Interior_A	True	False	-160.0000000000037	-159.99999999999602	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0012	Interior_B	True	False	-79.9999999999983	-80.00000000000485	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0013	Boundary	True	True			
LA_T_2627334_0013	Interior_A	True	False	-79.9999999999983	-80.00000000000485	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0013	Interior_B	True	True	79.9999999999983	80.00000000000595	
LA_T_2627334_0014	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0014	Interior_A	True	True	79.9999999999983	80.00000000000595	
LA_T_2627334_0014	Interior_B	True	True	79.9999999999983	79.99999999999885	
LA_T_2627334_0015	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0015	Interior_A	True	True	79.9999999999983	79.99999999999885	
LA_T_2627334_0015	Interior_B	True	False	0.0	5.551115123125783e-13	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0016	Boundary	True	True			
LA_T_2627334_0016	Interior_A	True	False	0.0	5.551115123125783e-13	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0016	Interior_B	True	False	-80.0000000000054	-79.99999999999774	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0017	Boundary	True	True			
LA_T_2627334_0017	Interior_A	True	False	-80.0000000000054	-79.99999999999774	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0017	Interior_B	True	True	79.9999999999983	79.99999999999885	
LA_T_2627334_0018	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0018	Interior_A	True	True	79.9999999999983	79.99999999999885	
LA_T_2627334_0018	Interior_B	True	True	240.000000000002	240.00000000000256	
LA_T_2627334_0019	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0019	Interior_A	True	True	240.000000000002	240.00000000000256	
LA_T_2627334_0019	Interior_B	True	False	-159.9999999999966	-160.00000000000313	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0020	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0020	Interior_A	True	False	-159.9999999999966	-160.00000000000313	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0020	Interior_B	True	False	-7.105427357601002e-12	5.551115123125783e-13	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0023	Boundary	True	False			official_v6_boundary_cpps_invalid_or_incomplete_support
LA_T_2627334_0023	Interior_A	True	True	240.000000000002	240.00000000000256	
LA_T_2627334_0023	Interior_B	True	False	-160.0000000000037	-160.00000000000313	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
LA_T_2627334_0024	Boundary	True	True			
LA_T_2627334_0024	Interior_A	True	False	-160.0000000000037	-160.00000000000313	incomplete_strict_phone_support_for_nine_point_cpps_trajectory
